,姓名,性别,rank,face,spacesta,生日,签名,等级,官方验证类型,官方验证描述,vip类型,vip状态,toutu,toutuID,coins,关注数,粉丝数
﻿95205743,嘿丝科技,保密,10000,http://i0.hdslb.com/bfs/face/8535f750a3c937e9de3b468188c6f63685559349.jpg,0,01-01,嘿丝科技，泛娱乐化互联网科技媒体，现有嘿丝测评和嘿丝show两档视频栏目~我们的口号是科技有温度、吐槽有风度、测评很鬼畜,6,1,广东珠江智联信息科技股份有限公司,0,0,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,1,108197
﻿2633925,轻松,男,10000,http://i0.hdslb.com/bfs/face/63cac48e7d2d5b796e387dbef41f5d8694f57a5c.jpg,0,08-21,不定期搬运各种有趣视频，美食、ASMR方面为主(无可用梯子，暂不更新),5,-1,,1,0,bfs/space/d60a4be11f1bca6168a60a53c64bca18eddd6443.jpg,2,0,55,14952
﻿39673001,天天果园fruitday,,10000,http://i0.hdslb.com/bfs/face/ccf52a45b14888f0c8f21a3327665de4c432545c.jpg,0,nobirthday,做一个有姿势的吃货～ 关注微博@天天果园，进口水果免费吃！weibo.com/fruitday,3,-1,,0,0,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,2,11080
﻿21977574,lois珊,女,10000,http://i0.hdslb.com/bfs/face/071b465a5a13c76815666eb4032b434e131d321e.jpg,0,09-14,视频从不授权他人。qq群：71 29 19873（推荐游戏，手工想法)微博:珊珊叫你来寻她,6,-1,,2,1,bfs/space/718eac8c71e29b8a80431c46110805c3a40e30a6.jpg,7,0,122,99120
﻿11774213,Lpover,保密,10000,http://i2.hdslb.com/bfs/face/435a6541fef966df695c9707e69f759764df891e.jpg,0,08-17,诸君，我有一个大胆的想法，那就是点击关注哦 :) #制作原创AMV #分享 YouTube 有趣视频  | 如有侵权，请私信删除！,5,-1,,2,1,bfs/space/ef1b08e62fdc35b06e39795bc6de8e510935bf97.jpg,9,0,75,71362
﻿525596,一只猫neko,男,10000,http://i0.hdslb.com/bfs/face/fe365bbbc2d8407b60108e7d6c17855b4f9c46e5.jpg,0,07-25,d(*￣▽￣*)ブ 微博：@一只猫neko 直播间：http://live.bilibili.com/1130,5,-1,,2,1,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,24,51470
﻿34613697,上安村村花,保密,10000,http://i1.hdslb.com/bfs/face/6038ea86e169ff9184d7cd8a3f22f38c63cd6537.jpg,0,01-01,言作无言，情自无情,5,-1,,1,0,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,57,63328
﻿64923358,・huhu・,保密,10000,http://i2.hdslb.com/bfs/face/6164042450d7ef554446fd54e526703868e8d374.jpg,-2,08-06,,3,-1,,0,0,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,27,14948
﻿3998398,秋呗叔岳,保密,10000,http://i2.hdslb.com/bfs/face/71805f5a1971f2637059da49e46f5eafbe4223cb.jpg,0,12-27,会用更多努力回馈你的养成系手工UP主，点一下关注来见证或和我一起进步吧~唠嗑群306947823,6,-1,,2,1,bfs/space/08cdc86dfcb9d7e0876fa79feb1e03050f607229.png,2384246,0,71,133891
﻿26424461,小天不是受QAQ,,10000,http://i0.hdslb.com/bfs/face/9f9d0db52e8317c0d7d6eb5c679a614b87ba2deb.jpg,0,nobirthday,微博：小天不是受QAQ，just for fun.商务合作联系QQ290858989 视频可以转载记得备注,6,0,bilibili直播签约主播,1,1,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,70,561717
﻿499023,锡兰Ceylan,男,10000,http://i0.hdslb.com/bfs/face/3e8cadfd5a50687e4a5f89f897d004d07986b13a.jpg,0,08-10,有意思哦 微博 @锡兰Ceylan,6,0,bilibili 知名UP主,2,1,bfs/space/f7e8a3e6a09f126a1b01487003f1fedaed57b4c2.png,1099770,0,73,323494
﻿15834498,拂菻坊,男,10000,http://i2.hdslb.com/bfs/face/59caded2aa9e6f0350ec41d4d57ad7c8835265b9.jpg,0,10-19,微博：@拂菻坊 微信公众号：拂菻坊,6,0,  bilibili 知名UP主,0,0,bfs/space/184abe52a5ea9390b506c064cfba4f8f20ae9cca.jpg,13,0,75,1572635
﻿11214170,Yoyoko-,女,10000,http://i2.hdslb.com/bfs/face/470ec068e2dc78688eb037f53bba153fb0e42044.jpg,0,11-15,不授权搬运 |盗视频深究| 某宝or微店：SLIME YOYOKO | 高产up婆主，我说真的啦 | 评论不一定能看到，有问题私信,5,-1,,2,1,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,186,36877
﻿11342605,EhBeeFamily,保密,10000,http://i0.hdslb.com/bfs/face/6958a7cc51ae9a077633d647e15b5e690da98c4b.jpg,0,01-01,官方账号非搬运，谢谢大家对EhBeeFamily的关心与支持，会带给大家更多精彩的视频~喜欢就关注我们喔~,6,1,Eh-Bee-Family官方账号,0,0,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,2,192398
﻿949226,大揍包,男,10000,http://i1.hdslb.com/bfs/face/13f27a9156ba6e9911acdd369351bd2ea77fba4d.jpg,0,08-15,上班族一本正经并理直气壮地慢更，约稿请私信get某宝链接,6,-1,,0,0,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,45,26256
﻿26366366,哔哩哔哩活动,保密,10000,http://i0.hdslb.com/bfs/face/245d962632caef81f7abd94d583936c4b09c28e1.jpg,0,01-01,哔哩哔哩活动相关账号,6,1,哔哩哔哩活动相关官方账号,0,0,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,4,263516
﻿7012814,独特o,男,10000,http://i1.hdslb.com/bfs/face/19564ec51f51990d8f787b5fc6946b612fbc526f.jpg,0,06-09,新电脑直播中,5,-1,,1,1,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,52,78048
﻿46044801,花甜小公举,保密,10000,http://i0.hdslb.com/bfs/face/ab6762aa0fc4a3412539fd888343c191e6e1cfa1.jpg,0,11-11,放肆的微笑有時也是一種毒藥，微博：花甜小公举,5,-1,,2,1,bfs/space/d60a4be11f1bca6168a60a53c64bca18eddd6443.jpg,2,0,0,47117
﻿43976732,水蛭-JogsLeech,男,10000,http://i0.hdslb.com/bfs/face/d96166751783e7517853f5dcc2a3cc6f3891710f.jpg,0,12-19,我水蛭又滚回来啦！！！ 新浪微博@水蛭_JogsLeech 联系邮箱jogsleech@sina.cn,6,0,bilibili 知名游戏UP主,2,1,bfs/space/69ebe6ee510691b4bfc430240f41270ec3d98434.png,19660,0,31,318599
﻿645465,Aki阿杰,女,10000,http://i0.hdslb.com/bfs/face/7e9ff507140867a26c6fb59911ed48849ed19f54.jpg,0,09-11,努力做喜欢的音乐。微博、网易云同名。联系方式akimusic@qq.com 不太看B站站内信！,6,-1,,1,0,bfs/space/c9dae917e24b4fc17c4d544caf6b6c0b17f8692b.jpg,3,0,4,123485
﻿23719433,美欧前沿,保密,10000,http://i2.hdslb.com/bfs/face/d55d76ea7825770a87a70a15012f7f6d1228c54b.jpg,0,10-26,一个人的字幕组，欢迎关注微博、微信公众号：美欧前沿,5,-1,,0,0,bfs/space/c9dae917e24b4fc17c4d544caf6b6c0b17f8692b.jpg,3,0,2,26906
﻿2142762,老戴在此,男,10000,http://i0.hdslb.com/bfs/face/b0e15009e56d162521ce59b2270b86b47c14989b.jpg,0,11-18,优酷空间：http://i.youku.com/laodaizaici 更多信息，请百度《老戴在此》 微博，直播，等相关,6,-1,,0,0,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,2,155332
﻿24439,幽灵刃,男,10000,http://i1.hdslb.com/bfs/face/8af5feddce107586118c575de948646f9ba2993f.jpg,0,01-01,亚卖呆~~亚卖呆~~亚卖呆~~~,5,-1,,1,0,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,50,45036
﻿261232,仙大蓝,保密,10000,http://i0.hdslb.com/bfs/face/f66abc8235cee865cdadbfe70a9597bb6fcb5c39.jpg,0,08-06,肝极好的周更UP主，微（相）博（册）@仙大蓝,6,-1,,1,1,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,49,130135
﻿6594504,山下智博二号,保密,10000,http://i0.hdslb.com/bfs/face/a2af8a33c9d9ea592f20f96288407018281aa098.jpg,0,10-29,山下智博小号～～,6,1,山下智博团队官方小号，更新日常,0,0,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,2,291879
﻿24622055,宫宫宫崎壮玄,男,10000,http://i1.hdslb.com/bfs/face/1cb2e21e23ae3cba4e38121b794eaa93e91986c2.jpg,0,04-20,宫崎壮玄的微博 http://weibo.com/MIYAZAKI1987,5,-1,,0,0,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,0,85622
﻿10804055,蓝战非和仓鼠王,男,10000,http://i0.hdslb.com/bfs/face/31bce3c306625f2da098eb01b38724513db85d19.jpg,0,01-01,公众号：四小天盒 成员微博ID:蓝战非/仓鼠炼金/我就是图图阿/ 商务合作：bd@dingzan.ac.cn,6,-1,,1,1,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,42,419801
﻿26669400,宇宙无敌韩三金,男,10000,http://i1.hdslb.com/bfs/face/2cb1c588b03f2f5f8ce5988f5239caf6c775a7bf.jpg,0,08-18,微信公众号\新浪微博：宇宙无敌韩三金，合作咨询：837227775@qq.com,6,0,bilibili 知名影视UP主,1,1,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,5,398158
﻿123938419,阅后即瞎,保密,10000,http://i0.hdslb.com/bfs/face/417b5505ab0263af0d568324f0c0287bbdd34476.jpg,0,07-17,原《瞎看什么》内容创作团队原班人马独立打造。天纳TAMNAAAA 出品。,6,1,阅后即瞎官方账号,2,1,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,2,1540038
﻿20990353,努巴尼守望先锋,保密,10000,http://i2.hdslb.com/bfs/face/358e0b207a9c6012778e4ad1b21356c91536e790.jpg,0,01-01,努巴尼守望先锋俱乐部：numbani.cn。是专业的守望先锋玩家社区，为玩家提供守望先锋最新资讯动态，游戏资料，攻略心得，视频，图片。专注，专业，这里只有守望先锋。 ,6,0,bilibili 知名游戏UP主,1,1,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,19,622801
﻿10462362,天天卡牌,,10000,http://i2.hdslb.com/bfs/face/d073dbd50b729138f7253f3258ac6ef67bddd741.jpg,0,nobirthday,官方微信ttkapai 炉石投稿邮箱ttkapai@qq.com 喜欢的话请多投硬币呀,6,0,bilibili 知名游戏UP主,2,1,bfs/space/b18e24304a76a54bfc9b7e8b96f3b846ca2b5bc2.png,621986,0,52,1260571
﻿239265783,中国boy录播组,保密,10000,http://i2.hdslb.com/bfs/face/cfd3073c1ca1afe85a4b891f4cf585b954d701c0.jpg,0,06-02,中国boy官方录播组，微博@Chineseboy-Hans录屏组,3,-1,,0,0,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,1,32860
﻿228267254,逆风笑の非公式录播组,,10000,http://i1.hdslb.com/bfs/face/66b69cfb697da133917f2e0a48bb548828170101.jpg,0,nobirthday,一个人的录播组,5,-1,,0,0,bfs/space/768cc4fd97618cf589d23c2711a1d1a729f42235.png,1,0,5,39908
